RA,DEC,Z,sSFR_0_1Gyr_best_fit,sSFR_0_1Gyr_percentile16,sSFR_0_1Gyr_percentile50,sSFR_0_1Gyr_percentile84,mass_stellar_best_fit,mass_stellar_percentile16,mass_stellar_percentile50,mass_stellar_percentile84
133.1450743,0.1075377,0.0662,0.0000000007139,-9.225,-9.125,-9.025,680500000,8.787,8.837,8.887
133.2097597,0.1578626,0.0257,0.0000000001802,-9.925,-9.725,-9.675,545700000,8.732,8.812,8.972
133.4823912,0.1048638,0.0664,0.0000000004073,-9.525,-9.375,-9.225,688600000,8.752,8.822,8.877
134.0788899,0.0132203,0.0875,0.0000000002342,-9.525,-9.275,-9.025,1369000000,9.072,9.177,9.307
134.090798,0.0072528,0.1099,0.0000000004659,-9.625,-9.375,-9.175,2701000000,9.327,9.447,9.582
134.1125714,0.1939847,0.057,0.0000000001837,-9.925,-9.725,-9.725,1219000000,9.082,9.082,9.187
134.3689098,0.167632,0.0437,0.0000000002536,-10.12,-9.825,-9.625,451100000,8.647,8.702,8.822
134.6189816,0.0881762,0.0285,0.00000000008853,-10.22,-10.07,-9.925,326500000,8.447,8.552,8.682
134.6848174,0.1979367,0.071,0.0000000006414,-10.17,-9.525,-9.225,616100000,8.782,8.882,8.937
134.9645958,0.0223785,0.0529,0.000000000169,-9.925,-9.825,-9.725,1843000000,9.262,9.377,9.442
135.1088486,0.0057187,0.0525,0.0000000004303,-10.07,-9.625,-9.375,315600000,8.422,8.557,8.667
135.2822398,0.0755719,0.0528,0.0000000001413,-10.67,-10.07,-9.775,790900000,8.652,8.837,8.967
135.2860204,0.2090739,0.0522,0.0000000003716,-9.725,-9.525,-9.375,509000000,8.642,8.717,8.812
135.5505224,0.1811671,0.0542,0.0000000001991,-10.27,-9.825,-9.525,1857000000,9.162,9.227,9.297
135.5954339,0.039225,0.0406,0.000000001236,-9.075,-8.875,-8.675,486500000,8.517,8.642,8.752
135.609368,0.0652043,0.0406,0.000000001074,-9.525,-9.325,-9.025,148600000,8.217,8.327,8.442
135.6894575,0.0464487,0.0538,0.0000000005072,-9.925,-9.375,-9.175,581300000,8.697,8.797,8.902
136.1796464,0.1647682,0.1019,0.0000000003609,-9.825,-9.575,-9.425,1988000000,9.287,9.312,9.437
136.3476448,0.1905781,0.0587,0.0000000001413,-10.37,-10.12,-9.875,1496000000,9.187,9.357,9.497
136.40776559,0.0032713,0.0186,0.0000000001824,-9.975,-9.825,-9.675,501400000,8.682,8.787,8.862
136.81366762,0.11352132,0.0935,0.0000000001658,-9.775,-9.775,-9.525,2062000000,9.142,9.312,9.312
137.1868479,0.043383,0.0704,0.0000000004303,-9.575,-9.375,-9.125,613700000,8.712,8.787,8.887
137.2295671,0.1946337,0.0874,0.00000000005762,-10.57,-10.22,-9.925,1599000000,9.182,9.202,9.297
137.3851159,0.0941006,0.0702,0.00000000006951,-10.32,-10.17,-10.02,2907000000,9.327,9.432,9.527
138.1236483,0.1320797,0.0548,0.0000000001433,-10.12,-9.975,-9.875,2401000000,9.542,9.612,9.682
138.2274318,0.0756661,0.055,0.0000000001434,-10.17,-10.02,-9.875,1914000000,9.177,9.267,9.372
138.3062509,0.1491899,0.0539,0.0000000009067,-9.125,-9.075,-9.025,2523000000,9.387,9.402,9.447
138.498077,0.1065842,0.0921,0.0000000001178,-10.27,-9.975,-9.925,1617000000,9.192,9.207,9.232
139.0656753,0.0320789,0.0917,0.0000000002098,-9.975,-9.825,-9.575,1907000000,9.202,9.312,9.412
139.5198338,0.199152,0.0919,0.0000000003379,-9.975,-9.775,-9.575,2023000000,9.207,9.347,9.472
139.75689434,0.17251983,0.0175,0.0000000003511,-9.475,-9.375,-9.175,34840000,7.237,7.487,7.542
139.8097677,0.1393945,0.0693,0.00000000061,-9.575,-9.325,-9.175,2110000000,9.217,9.292,9.407
139.8114845,0.1050256,0.0555,0.00000000002254,-11.17,-10.97,-10.72,2686000000,9.372,9.482,9.577
139.8982409,0.001192,0.0671,0.0000000004149,-9.525,-9.375,-9.175,1699000000,9.197,9.227,9.272
139.9266791,0.0115044,0.0695,0.000000000594,-9.675,-9.475,-9.325,822100000,8.942,8.992,9.072
140.2861408,0.080609,0.0235,0.0000000000962,-10.82,-9.325,-9.025,141000000,8.147,8.187,8.367
140.3167038,0.1174218,0.0059,0.000000000464,-12.97,-11.27,-9.625,7801000,6.937,6.987,7.057
140.357866,0.1320025,0.1071,0.0000000005971,-9.425,-9.325,-9.225,2428000000,9.287,9.377,9.407
140.6266418,0.1471813,0.0257,0.0000000002612,-10.22,-9.925,-9.575,222700000,8.347,8.427,8.442
140.6249903,0.1314989,0.0381,0.000000000147,-9.925,-9.725,-9.525,819300000,8.602,8.682,8.822
140.807579,0.1981551,0.0381,0.000000000004725,-11.72,-10.92,-10.42,349200000,8.527,8.682,8.812
129.0022859,0.6228995,0.0128,0.00000000002435,-10.62,-10.52,-10.32,2697000000,9.227,9.342,9.437
129.1488673,0.426688,0.0721,0.0000000002762,-9.675,-9.525,-9.425,2201000000,9.302,9.347,9.442
129.5244753,0.6090445,0.0139,0.0000000002175,-9.825,-9.675,-9.425,116400000,7.942,8.052,8.102
129.5728697,0.4391434,0.0807,0.00000000008423,-10.22,-10.07,-9.375,2743000000,9.332,9.437,9.477
129.6935911,0.617917,0.082,0.0000000005185,-9.425,-9.275,-9.125,2314000000,9.262,9.332,9.442
130.2126515,0.5180593,0.0583,0.0000000001075,-10.12,-9.825,-9.625,1715000000,8.922,9.017,9.202
130.2145725,0.480316,0.0908,0.0000000004391,-10.57,-9.375,-9.225,1335000000,9.097,9.192,9.302
130.3512882,0.5301326,0.051,0.00000000006852,-10.17,-9.475,-9.275,2435000000,9.387,9.447,9.677
130.3558301,0.6187129,0.0507,0.0000000005587,-9.625,-9.475,-9.375,1426000000,9.232,9.317,9.427
130.3766045,0.5641762,0.0617,0.000000000252,-10.07,-9.725,-9.625,1372000000,9.052,9.152,9.282
130.3624664,0.5027738,0.0524,0.00000000004885,-10.52,-9.975,-9.625,672000000,8.677,8.777,8.857
130.5382845,0.4257863,0.0782,0.0000000003484,-9.675,-9.525,-9.425,2481000000,9.307,9.362,9.437
130.8622466,0.4438818,0.0508,0.0000000002085,-10.12,-9.975,-9.825,2279000000,9.482,9.567,9.657
