RA,DEC,Z,logmstar,dellogmstar
135.302918,-0.4045587,0.05354,9.11783,0.130212
135.3789167,-0.4089977,0.05313,9.04643,0.128019
135.45655,-0.3979607,0.0529,10.9042,0.106001
135.4856781,-0.3852676,0.05395,9.40899,0.12379
135.6721124,-0.2182267,0.05997,9.12098,0.148004
135.6550677,-0.2223623,0.10273,9.87611,0.119993
135.7029021,-0.32926,0.09314,9.76044,0.10597
135.8042879,-0.3929554,0.05594,9.31056,0.142641
135.8375317,-0.34011,0.14554,10.7322,0.102521
135.8769638,-0.2471277,0.07045,9.92158,0.146868
135.8862284,-0.2447265,0.11626,10.1112,0.121486
136.0001933,-0.3332128,0.06118,9.71121,0.128819
135.9743343,-0.232357,0.10133,10.2533,0.105606
136.0345765,-0.3921885,0.13068,10.2117,0.284888
136.1014532,-0.2359905,0.0003,3.28556,0.111854
136.1401681,-0.3147022,0.02752,8.94685,0.123491
136.2584454,-0.2467356,0.1286,10.0036,0.31627
136.3424905,-0.3474502,0.1006,10.3307,0.12694
136.4314105,-0.3612925,0.09659,10.499,0.127137
136.4523204,-0.2833788,0.09753,10.3146,0.160152
136.5760677,-0.2697195,0.0707,9.9316,0.147597
136.6042117,-0.2377925,0.09503,10.9295,0.103135
136.5211287,-0.2603887,0.03988,9.95705,0.125495
136.5951285,-0.2221268,0.09473,9.76517,0.147781
136.6661167,-0.4137713,0.06984,10.1316,0.112823
136.8827538,-0.4103183,0.07056,9.25577,0.131392
136.7748694,-0.2248273,0.12699,9.75667,0.130932
136.7851804,-0.3715367,0.10098,10.1023,0.127307
136.8100497,-0.2965237,0.0397,8.70404,0.116854
136.8507065,-0.2598937,0.07757,9.93856,0.255184
136.8989934,-0.2483301,0.00013,2.388,0.107249
136.9757517,-0.2313812,0.05562,8.95879,0.144788
137.2685967,-0.2116363,0.1345,10.0941,0.124254
137.3051989,-0.4178849,0.13433,9.8961,0.120512
137.5889388,-0.2167208,0.09339,9.94803,0.116908
137.6054615,-0.2178545,0.01893,8.0448,0.119964
137.7491018,-0.330979,0.13566,10.2896,0.120096
137.79992,-0.2346945,0.05435,9.69512,0.153453
137.8687669,-0.2645085,0.06509,10.2453,0.118694
137.8508615,-0.2393904,0.07027,9.5624,0.11652
137.9381918,-0.2144429,0.14554,9.96367,0.128847
138.02609103,-0.35458811,0.00003,-0.100585,0.13868
138.2858289,-0.2276508,0.10313,10.0664,0.112032
138.3565335,-0.3780536,0.10576,10.2747,0.106144
138.3918345,-0.2526838,0.07023,10.9567,0.11244
138.4224983,-0.3544126,0.12259,10.0255,0.111751
138.5922339,-0.4105601,0.07067,9.78054,0.109434
138.676027,-0.3518415,0.13547,11.0871,0.12169
138.6863179,-0.2582199,0.14579,10.6323,0.0947968
138.6979299,-0.3560401,0.05578,9.16651,0.128686
138.8553357,-0.3018776,0.02846,8.7423,0.350677
138.7292397,-0.2604001,0.13586,9.85643,0.105923
138.8983104,-0.2709403,0.14469,9.92862,0.161133
139.0018306,-0.2894146,0.08883,9.94549,0.124387
138.8871577,-0.3856582,0.08801,9.48091,0.155908
139.0145106,-0.2907272,0.08767,9.51128,0.111601
139.0367293,-0.3480223,0.14449,10.0312,0.106282
139.2821009,-0.2488606,0.05627,9.7411,0.116564
139.19538,-0.4093848,0.14099,10.1219,0.11282
139.2641684,-0.2980837,0.01668,7.63003,0.131817
139.4562101,-0.2804154,0.01787,8.96731,0.291281
