ind,ra,dec,mass_stellar_best_fit,sSFR_best_fit,z
322,130.26523999999998,0.7007443999999999,91900000,1.507e-10,0.0143
323,131.4770955,0.6698428999999999,1546000000,6.608e-10,0.0771
324,133.07242119999998,0.7231042,1068000000,3.229e-10,0.0777
325,134.83016769999998,0.7978819,646200000,5.71e-10,0.0131
326,134.90602539999998,0.7762770000000001,2392000000,2.722e-10,0.0888
327,135.62110239999998,0.7095849,874700000,1.474e-10,0.0367
328,135.88536159999998,0.8034825000000001,274000000,1.331e-09,0.0533
329,136.39911339999998,0.696789,1959000000,1.007e-09,0.1016
33,139.92338839999996,-0.2103912,2195000000,1.673e-10,0.0561
330,137.312797,0.7515968,1362000000,3.189e-10,0.0705
331,138.8457049,0.6815857999999999,2410000000,5.282e-12,0.0524
332,139.686738,0.7624821,1981000000,4.538e-10,0.0876
333,139.8692376,0.7046171,1613000000,7.49e-10,0.0565
334,140.09152170000002,0.8235267,119800000,2.993e-10,0.0179
335,140.08109979999998,-1.3364551999999998,1963000000,2.335e-10,0.1024
336,140.2649171,-1.2858550999999998,149700000,6.553e-10,0.0256
337,140.29764889999996,-1.7890449,2781000000,3.525e-10,0.0698
338,140.74018479999998,-1.8316714,2269000000,1.215e-08,0.1379
339,140.9616596,-1.8063606,2647000000,7.725e-13,0.0557
34,140.42795499999997,-0.32438819999999996,578200000,1.611e-10,0.0528
340,140.70660119999997,-1.0231355,1038000000,1.78e-10,0.0551
341,140.88300689999997,-1.0849796999999999,801800000,8.116e-10,0.0819
342,136.05332227999997,1.81676781,1669000000,9.876e-10,0.1012
343,135.8121544,1.6280274000000001,2790000000,8.939e-11,0.0711
344,140.35143529999996,0.6984515,1540000,1.077e-12,0.0016
345,130.09966749999998,0.0817706,1091000000,1.638e-09,0.1267
346,135.9687663,1.0053001,8906000,8.11e-09,0.0202
347,129.45459266999998,1.01921384,35630000,1.398e-09,0.0257
348,136.17411669999998,1.3946821999999999,497000000,8.054e-09,0.1103
349,140.094078,1.2570828,881700,7.638e-10,0.0038
35,140.68639989999997,-0.3145901,2054000000,2.09e-10,0.0543
350,137.8458742,1.6150509000000002,22560000,4.386e-09,0.0333
351,133.58494679999998,2.8922446,1216000000,1.154e-10,0.0566
352,133.6564344,2.525874,1696000000,1.861e-10,0.0684
353,132.6626909,-0.602371,884200000,2.655e-12,0.0303
354,138.64707439999998,-0.42969670000000004,1576000000,1.291e-10,0.062
355,138.64996449999995,0.8263281,16560000,1.154e-10,0.0058
356,130.8569043,1.9109475,17320000,4.666e-12,0.0061
357,129.58365669999998,-1.9855833,798700000,1.118e-10,0.0386
358,129.37210149999999,-1.4527588,492500000,9.72e-10,0.054
359,130.42362769999997,-1.4992932,582600000,2.634e-10,0.0387
36,140.7464489,-0.4021563,643900000,4.833e-11,0.0561
360,132.7648793,-1.5605659,1032000000,4.028e-10,0.0564
361,132.95162689999998,-1.5414086999999999,1917000000,7.331e-11,0.0694
362,135.7950065,-1.6794957,248900000,1.957e-11,0.0392
363,136.87169139999997,-1.8013755,1632000000,9.501e-11,0.0434
364,137.12059599999998,-1.80554937,7848000,2.03e-10,0.0121
365,137.33649549999998,-1.7894795,53000000,9.189e-09,0.0276
366,139.1374998,-1.8453832000000001,38130000,1.012e-09,0.0119
367,139.45530179999997,-1.8187354,1077000000,1.23e-09,0.0882
368,139.5980438,-1.9050158,2418000000,1.271e-12,0.1041
369,129.4685619,-1.0437251,900500000,7.279e-10,0.0787
37,129.8282983,0.19801639999999998,2581000000,1.298e-10,0.0784
370,130.465471,-1.1544271,2283000000,3.93e-10,0.1079
371,133.11857859999998,-1.2012094,2218000000,1.755e-10,0.0992
372,133.31647439999998,-1.2251019,2602000000,7.529e-10,0.1339
373,135.07162649999998,-1.2494783,183600000,7.427e-10,0.0397
374,135.16559279999998,-1.2285153000000002,2591000000,1.588e-10,0.104
375,136.16257589999998,-1.2326009000000002,993000000,9.093e-13,0.0475
376,136.261362,-1.3716195,276400000,4.586e-10,0.0401
377,137.3357682,-1.3095449000000001,1718000000,7.664e-10,0.0882
378,137.55772629999998,-1.4615501,1622000000,6.021e-10,0.0884
379,138.44201019999997,-1.4565796,826400000,7.742e-11,0.047
38,130.16237689999997,0.0967002,406500000,5.402e-10,0.0612
380,138.48671589999998,-1.46647,461500000,5.843e-11,0.0161
381,138.9344836,-1.4519771,2604000000,8.861e-11,0.0557
382,139.0258263,-1.3220129,1486000000,3.716e-10,0.0899
383,139.91459339999997,-1.4150996999999998,206700000,6.115e-10,0.0259
384,139.8870302,-1.425551,1059000000,1.882e-10,0.0693
385,129.52353829999998,-0.7217301,1274000000,4.089e-10,0.0809
386,129.7201427,-0.7754673000000001,297400000,1.217e-09,0.0525
387,131.01943959999997,-0.7486759999999999,173100000,3.185e-10,0.0134
388,135.8702491,-0.9266304999999999,1377000000,7.353e-10,0.0972
389,136.71630209999998,-0.9438914,254600000,4.538e-10,0.04
39,130.16653879999998,0.15015009999999998,131700000,5.125e-10,0.0245
390,137.5752483,-1.0596759,845800000,6.91e-14,0.0153
391,139.8508511,-1.1310048,975200000,2.576e-10,0.0257
392,129.01709349999996,-1.8071774,2863000000,2.823e-11,0.0304
393,129.4484797,-1.6516061,1733000000,6.41e-12,0.136
394,129.84450025399997,-1.7011674399999999,22830000,1.23e-12,0.0088
395,130.50527764499998,-1.75277071,2978000000,2.057e-11,0.0396
396,132.66681599999998,-1.7625228,65470000,7.751e-10,0.0222
397,133.49719589999998,-1.9442307,1226000000,1.423e-10,0.048
398,133.9818915,-1.816814,555100000,6.98e-11,0.0397
399,137.13086429999998,-1.9775115,1934000000,1.218e-08,0.0885
4,134.37616279999997,-0.7336377999999999,2611000000,1.917e-11,0.1058
40,130.5895431,0.08592219999999999,2690000000,6.505e-10,0.0765
400,137.89805059999998,-1.9342266,72540000,4.364e-10,0.017
401,137.9995117,-1.9514045,53410000,1.13e-09,0.0171
402,129.3009242,-1.395631,418000000,1.365e-09,0.0411
403,129.5613823,-1.396772,2282000000,2.565e-10,0.0574
404,129.912422,-1.3983956,2545000000,5.921e-10,0.1146
405,130.7918496,-1.4543546,254000000,5.462e-11,0.0264
406,130.9633758,-1.276024,439600000,1.096e-09,0.0525
