ind,ra,dec,mass_stellar_best_fit,sSFR_best_fit,z
268,129.00013779999998,0.678044,682700000,7.961e-13,0.0135
269,130.3178131,0.6847119,1871000000,3.163e-10,0.0783
27,139.5198338,0.199152,2023000000,3.379e-10,0.0919
270,130.8807262,0.7261655,196200000,9.218e-10,0.0968
271,131.9271661,0.6822724,2239000000,3.82e-11,0.0454
272,133.92906159999998,0.7363736,204000000,2.864e-10,0.0288
273,133.90575319999996,0.7422278999999999,108200000,6.458e-10,0.0287
274,134.82397207999998,0.69014328,117600000,4.391e-10,0.0163
275,136.2109654,0.7433502,135700000,2.911e-10,0.0127
276,136.2545994,0.6862974000000001,924000000,3.615e-10,0.0769
277,137.7006055,0.6308689000000001,2807000000,2.758e-10,0.0941
278,139.2320594,0.7043775,2634000000,1.888e-10,0.0804
279,139.50585949999999,0.6306261000000001,698200000,4.301e-10,0.057
28,139.75689433999997,0.17251982999999999,34840000,3.511e-10,0.0175
280,140.1386872,0.721087,1367000000,3.163e-11,0.0172
281,140.1551153,0.8228101999999999,528200000,5.557e-11,0.0175
282,140.7431551,-1.7406568,968600000,8.008e-10,0.0882
283,140.94822279999997,-1.7360164,2972000000,5.533e-10,0.1362
284,140.98724629999998,-1.7148892,928200000,1.717e-10,0.0547
285,140.1293651,-1.3451768,1790000000,2.91e-10,0.0706
286,140.4768629,-1.3366862,1006000000,2.061e-10,0.0552
287,140.9596475,-1.9355826,381900000,4.158e-11,0.0226
288,140.38663189999997,-1.5090744,163300000,1.045e-09,0.0228
289,140.58184179999998,-1.4665073,2044000000,1.235e-10,0.0546
29,139.92667909999997,0.011504400000000001,822100000,5.94e-10,0.0695
290,140.2096115,-0.9784276,1359000000,5.444e-10,0.0744
291,140.81689739999996,-1.0301775,2985000000,6.23e-10,0.1375
292,137.98576307,1.43867966,480900000,4.86e-09,0.0809
293,140.35249029999997,1.9958219000000001,123300,7.361e-12,0.001
294,138.839308,0.1105603,208100000,3.115e-13,0.0103
295,134.49233019999997,1.3544446,1222000000,2.8e-10,0.0914
296,130.4325011,1.9789016000000001,1086000000,2.075e-13,0.0317
297,130.19645969999996,-1.8998667,332000000,1.87e-10,0.0399
298,131.04656019999996,-1.9748443000000002,2853000000,4.711e-10,0.059
299,131.04763269999998,-1.9989598,1311000000,5.711e-10,0.0591
3,137.16282869999998,-0.7227522,2554000000,2.115e-10,0.1034
30,129.14886729999998,0.426688,2201000000,2.762e-10,0.0721
300,131.73178249999998,-1.9453479,2857000000,2.811e-09,0.0417
301,131.86792292999996,-1.99612843,2662000000,3.958e-10,0.0479
302,129.311552,-1.5960850000000002,2944000000,4.78e-14,0.014
303,129.85523419999998,-1.4324622,837500000,1.486e-10,0.049
304,131.77060819999997,-1.6020387,1338000000,4.267e-10,0.0413
305,131.9425062,-1.5961456,2969000000,2.934e-10,0.0794
306,132.87779999999998,-1.7174762000000001,2415000000,7.078e-11,0.0774
307,137.03271359999997,-1.6776767999999997,1287000000,2.471e-09,0.0787
308,137.3812654,-1.8690601,638400000,5.521e-11,0.028
309,137.344732,-1.8907152,1262000000,7.085e-11,0.0279
31,129.69359109999996,0.617917,2314000000,5.185e-10,0.082
310,137.7568456,-1.806767,1035000000,7.457e-12,0.0467
311,138.424353,-1.9035723999999998,1027000000,4.537e-11,0.0397
312,139.1465159,-1.8046993,211300000,6.064e-10,0.0119
313,129.09274359999998,-1.0927723,217900000,1.609e-10,0.0308
314,130.00430619999997,-1.2211820000000002,2488000000,1.13e-10,0.0502
315,131.3407811,-1.1951589,154600000,3.743e-10,0.0299
316,131.38928169999997,-1.2075749,1489000000,2.16e-09,0.1225
317,131.542364,-1.2450495000000001,1477000000,3.556e-10,0.0694
318,131.99468779999998,-1.1097540000000001,799600000,4.885e-11,0.0418
319,133.34263969999998,-1.1580755999999999,1314000000,6.316e-10,0.0787
32,130.7984887,0.5669508,1208000000,1.641e-10,0.0512
320,133.3405245,-1.3224299,1080000000,6.609e-10,0.0473
321,133.78554509999998,-1.2761897,102200000,6.738e-10,0.0221
322,138.8863242,-1.3436645999999999,305500000,7.777e-10,0.0536
323,139.17354559999998,-1.4003869999999998,2674000000,4.192e-10,0.1042
324,129.0542351,-0.7123893,1378000000,1.861e-10,0.0518
325,130.94017069999998,-0.8377348,1633000000,4.701e-10,0.0861
326,132.99072069999997,-0.8781979,2224000000,3.506e-10,0.098
327,132.98659479999998,-0.8427598000000001,1354000000,7.867e-10,0.0942
328,134.47295269999998,-0.8294739999999999,2398000000,7.042e-11,0.0711
329,135.4625176,-0.955371,275600000,8.04e-10,0.0421
33,131.3153591,0.5254317000000001,261900000,5.471e-10,0.0351
330,137.06868279999998,-0.9375131,1473000000,4.904e-10,0.0556
331,139.28724849999998,-1.0294128,1737000000,3.632e-10,0.0466
332,129.3079543,-1.7002249999999999,733600000,6.067e-10,0.0534
333,129.67706149999998,-1.8132715000000001,1934000000,6.738e-10,0.0992
334,129.65650409999998,-1.8130127,599800000,1.812e-10,0.0446
335,130.40930999999998,-1.6982695,108000000,4.997e-10,0.0172
336,131.03833649999999,-1.8451508,770900000,1.743e-09,0.048
